"SQL_ID";"TYPE";"NAME";"FILTER";"STANDART"
20;"I";"Betreff";""SUBJECT"='%Betreff:TEXT%'";"N"
21;"O";"Offene Aufträge";""STATUS"='AU'";"N"
22;"C";"Name";""NAME"='%Name:TEXT%'";"N"
23;"O";"Offene Angebote";""STATUS"='AN'";"N"
24;"O";"Offene Bestellungen";""STATUS"='BS' and "DELIVERED"='N'";"N"
25;"O";"Auszuliefern";"("STATUS"='AU' or ("STATUS"='PR' and "PAYEDON" is not  NULL)) and ("DONE"<>'Y')";"N"
26;"I";"Absender";""SENDER"='%Absender:TEXT%'";"N"
27;"A";"Name";""NAME"='%Name:TEXT%'";"N"
28;"S";"Name";""CUSTNAME"='%Name:TEXT%'";"N"
29;"M";"Kurztext";""SHORTTEXT"='%Kurztext:TEXT%'";"N"
30;"M";"Ident";""ID"='%Ident:TEXT%'";"N"
31;"C";"Ident";""ACCOUNTNO"='%Ident:TEXT%'";"N"
32;"O";"Offene Eingangsrechnungen";""STATUS"='ER' and "PAYEDON"=''";"N"
33;"O";"Offene Rechnungen";"("STATUS"='RS' or "STATUS"='SR' or "STATUS"='TR') and "PAYEDON"=''";"N"
34;"O";"Offene Reparaturaufträge";""STATUS"='RE' and "DONE"='N'";"N"
35;"O";"Offene Produktionsaufträge";""STATUS"='PA' and "DONE"='N'";"N"
